"{14.273534103071448, {14.26856196850181, 14.278506237641086}, {13.789343537249492, 14.78980970084268}, {13.789343537249492, 14.644751489906188}}","{25.239602419866177, {25.193411745019294, 25.28579309471306}, {22.253435263727017, 30.641456096480976}, {22.253435263727017, 28.233638412410937}}","{642.5897143535014, {639.6952782037844, 645.4841505032185}, {495.2153810368892, 938.8988317125712}, {495.2153810368892, 797.1383380027664}}","{7.0115956795399805, {7.009541408113507, 7.013649950966454}, {6.8062000427553375, 7.219357426167875}, {6.8062000427553375, 7.161172387892178}}","{12.533885981753814, {12.529154819306768, 12.53861714420086}, {12.063361168663485, 13.025349923637734}, {12.063361168663485, 12.87900113288929}}","{9.159738471061814, {9.065296155844468, 9.25418078627916}, {5.490226556713767, 21.568211410740783}, {5.490226556713767, 14.416169585484234}}"
"{12.478258918389136, {12.473890679178352, 12.48262715759992}, {12.046707396323827, 12.921065637502354}, {12.046707396323827, 12.807111228872323}}","{22.02554135544073, {21.98803274241091, 22.06304996847055}, {19.421798743434, 26.59519071904375}, {19.421798743434, 24.619844348086673}}","{488.785619697792, {486.9623508923315, 490.60888850325256}, {377.2062664304545, 707.3041693823108}, {377.2062664304545, 606.1367357240154}}","{6.131971690844103, {6.130194380736127, 6.133749000952078}, {5.955565157111641, 6.306654576770677}, {5.955565157111641, 6.263388285849153}}","{10.957301581520614, {10.953089433845133, 10.961513729196096}, {10.543345316777373, 11.383474097396817}, {10.543345316777373, 11.26770488114813}}","{9.102555840916912, {9.010664555124904, 9.19444712670892}, {5.463409694518786, 21.23197349756159}, {5.463409694518786, 14.31900099942705}}"
"{19.286416753444865, {19.27969056403949, 19.29314294285024}, {18.62269137816186, 19.97200428902774}, {18.62269137816186, 19.781695016620294}}","{34.041693243453295, {33.98246132836582, 34.10092515854077}, {29.99992087648632, 40.93913934566676}, {29.99992087648632, 38.04001951469221}}","{1167.966795005227, {1163.2745539009895, 1172.6590361094643}, {899.9952525954399, 1676.0131303639203}, {899.9952525954399, 1447.0430846781644}}","{9.476578003154259, {9.47379941615379, 9.479356590154728}, {9.208300403880349, 9.756839405359528}, {9.208300403880349, 9.683110303512919}}","{16.937507687658478, {16.931115820508776, 16.94389955480818}, {16.30652277758176, 17.587586422545698}, {16.30652277758176, 17.411548929566496}}","{9.071503572220484, {8.9819334686589, 9.161073675782069}, {5.453730569281355, 20.362123097943044}, {5.453730569281355, 14.305433645835144}}"
"{21.532116886729046, {21.524637188274355, 21.539596585183737}, {20.797175412205657, 22.29597909659959}, {20.797175412205657, 22.082431075878127}}","{38.03035033613755, {37.96375408496895, 38.09694658730616}, {33.57146411166077, 45.41030445262501}, {33.57146411166077, 42.339523886801295}}","{1457.8488486519755, {1451.7035548220583, 1463.9941424818926}, {1127.0432026005267, 2062.0957504800954}, {1127.0432026005267, 1792.6352829610178}}","{10.575208223501008, {10.572119580165355, 10.578296866836661}, {10.269717034703135, 10.895059952795108}, {10.269717034703135, 10.807107558420828}}","{18.909187360807245, {18.90197776403966, 18.91639695757483}, {18.190751224499053, 19.635998424777704}, {18.190751224499053, 19.43908404854153}}","{9.10864648598549, {9.017576587673728, 9.199716384297252}, {5.492436432504886, 20.65870177926892}, {5.492436432504886, 14.08884878885472}}"
"{2.929400591143135, {2.9283798889239208, 2.9304212933623495}, {2.8311481796815356, 3.034752041383117}, {2.8311481796815356, 3.0048674147010055}}","{5.177451159698403, {5.1678284804203205, 5.187073838976486}, {4.570472579876872, 6.185718293769861}, {4.570472579876872, 5.788494005093174}}","{27.04696179072499, {26.910381514128442, 27.183542067321536}, {20.889219603406357, 38.26311080987912}, {20.889219603406357, 33.50666284699962}}","{1.439297145784833, {1.4388750767851706, 1.4397192147844953}, {1.397968930795557, 1.4809450220619504}, {1.397968930795557, 1.4707606098821886}}","{2.572425734275725, {2.5714557030498284, 2.5733957655016217}, {2.476477895752559, 2.6689430089793422}, {2.476477895752559, 2.6439798137153203}}","{9.140350005937659, {9.047272328207361, 9.233427683667957}, {5.480989860864921, 20.92823680169874}, {5.480989860864921, 14.306247697411004}}"
"{22.230873491760665, {22.223156174835363, 22.238590808685966}, {21.473999349968565, 23.01415455056878}, {21.473999349968565, 22.798952101655694}}","{39.253457561765934, {39.1868677117979, 39.32004741173397}, {34.59468068049054, 47.16438709258908}, {34.59468068049054, 43.788716712444945}}","{1552.3730139334937, {1546.5221632843152, 1558.2238645826721}, {1196.7919313851055, 2224.4794098195835}, {1196.7919313851055, 1917.4517113227553}}","{10.921406568263683, {10.918204141683564, 10.924608994843801}, {10.609737150419571, 11.24746837068618}, {10.609737150419571, 11.157489882816261}}","{19.522736099031764, {19.51534403732244, 19.53012816074109}, {18.79053359820876, 20.258093109909282}, {18.79053359820876, 20.067438586122123}}","{9.083964690714991, {8.995452401845391, 9.17247697958459}, {5.479209836666559, 20.832256155535593}, {5.479209836666559, 14.177398520199786}}"
"{22.127087006648175, {22.1193524368393, 22.13482157645705}, {21.368903537588, 22.942905609156224}, {21.368903537588, 22.700620305601856}}","{39.05229166234879, {38.98277470256356, 39.121808622134026}, {34.32411465707268, 46.70443290990564}, {34.32411465707268, 43.60328209956247}}","{1537.6573176177478, {1531.1292565978174, 1544.1853786376782}, {1178.1448469918712, 2181.3040534358774}, {1178.1448469918712, 1901.2462098540248}}","{10.87395360321013, {10.870741245892077, 10.877165960528181}, {10.556595220550873, 11.19937405149984}, {10.556595220550873, 11.109149444288526}}","{19.43390742579067, {19.42649374386317, 19.441321107718174}, {18.701570264349087, 20.179727167645265}, {18.701570264349087, 19.978978038669368}}","{9.08928492524853, {8.997399880802229, 9.18116996969483}, {5.469045461388663, 20.92351169790568}, {5.469045461388663, 14.32175439718803}}"
"{20.37107389642865, {20.364007031051404, 20.3781407618059}, {19.675371466144608, 21.087720014471696}, {19.675371466144608, 20.886518495357922}}","{35.96163240588997, {35.90093906874863, 36.02232574303132}, {31.731362346374194, 43.46242227585104}, {31.731362346374194, 40.15952819322991}}","{1302.825001953859, {1297.9672769375982, 1307.68272697012}, {1006.8793563568939, 1888.982150084393}, {1006.8793563568939, 1612.787704702828}}","{10.008510233944442, {10.005584013010273, 10.011436454878611}, {9.719713276355478, 10.305043353220325}, {9.719713276355478, 10.223200043643303}}","{17.887736034964135, {17.880978539177022, 17.894493530751248}, {17.219288017260638, 18.55788631798115}, {17.219288017260638, 18.38607995166395}}","{9.125095560828537, {9.033937637583664, 9.21625348407341}, {5.4822297603039525, 21.55424636513984}, {5.4822297603039525, 14.295632553686113}}"
"{23.382330804019013, {23.37430264338529, 23.390358964652737}, {22.586373142015056, 24.20844265573218}, {22.586373142015056, 23.97533117515523}}","{41.21834966370014, {41.15011258747508, 41.2865867399252}, {36.39463349964896, 49.22536202668813}, {36.39463349964896, 46.13547592042768}}","{1711.0693755397715, {1704.8359571139522, 1717.3027939655908}, {1324.5693475737705, 2423.13626665851}, {1324.5693475737705, 2128.4821384043626}}","{11.487610830238479, {11.484237574451932, 11.490984086025026}, {11.154164700778361, 11.830698925637805}, {11.154164700778361, 11.738411863733669}}","{20.540286744059173, {20.53253000296937, 20.548043485148977}, {19.767755482291438, 21.328109046851246}, {19.767755482291438, 21.113394031694426}}","{9.03134068239657, {8.94399852389511, 9.11868284089803}, {5.476728557680599, 20.627548371090057}, {5.476728557680599, 14.282367057056035}}"
"{21.728651570362416, {21.721105492720493, 21.73619764800434}, {20.978433998595886, 22.504029533776933}, {20.978433998595886, 22.291094003482197}}","{38.33007110847406, {38.26543282277653, 38.394709394171585}, {33.821726170690575, 46.2187241788828}, {33.821726170690575, 42.758963356644585}}","{1480.0669884221165, {1474.512891763689, 1485.6210850805442}, {1143.9091611651759, 2136.1704647236456}, {1143.9091611651759, 1828.3289473348743}}","{10.674973627487791, {10.671839680592756, 10.678107574382826}, {10.363361382846985, 10.990166742833548}, {10.363361382846985, 10.904264347274463}}","{19.085499629583314, {19.07823075935961, 19.09276849980702}, {18.37096948215001, 19.816127244809756}, {18.37096948215001, 19.620241876478453}}","{9.063370913626253, {8.974319198888576, 9.15242262836393}, {5.477896008217163, 21.14800312855092}, {5.477896008217163, 14.35777581513101}}"
"{11.287912207578128, {11.284015981719918, 11.291808433436337}, {10.901635790837336, 11.683152925153804}, {10.901635790837336, 11.57640096268956}}","{19.940773168102265, {19.90518814553062, 19.97635819067391}, {17.574382669500327, 24.12918938990277}, {17.574382669500327, 22.255570112757987}}","{400.92969487076635, {399.2457558031523, 402.6136339383804}, {308.85892621403343, 582.2177806137964}, {308.85892621403343, 495.3104010438866}}","{5.545811484898117, {5.54420100138004, 5.547421968416193}, {5.387653463745627, 5.7096153636584255}, {5.387653463745627, 5.6652914831946415}}","{9.911341291070238, {9.907568976093158, 9.915113606047319}, {9.533350008255695, 10.285178769965984}, {9.533350008255695, 10.189011346173388}}","{9.12864225421378, {9.034043102249447, 9.223241406178113}, {5.481850611470616, 21.423240205631856}, {5.481850611470616, 14.371103502157853}}"
